,id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
159,47728223,2025-03-01,aFRR,NEG_001,46.91,PROVIDER_TO_GRID,5.0,5.0,DE,
160,47728224,2025-03-01,aFRR,NEG_001,56.68,PROVIDER_TO_GRID,5.0,5.0,DE,
161,47728225,2025-03-01,aFRR,NEG_001,56.02,PROVIDER_TO_GRID,5.0,5.0,DE,
162,47728226,2025-03-01,aFRR,NEG_001,55.35,PROVIDER_TO_GRID,5.0,5.0,DE,
163,47728227,2025-03-01,aFRR,NEG_001,54.69,PROVIDER_TO_GRID,5.0,5.0,DE,
164,47728228,2025-03-01,aFRR,NEG_001,54.03,PROVIDER_TO_GRID,5.0,5.0,DE,
165,47728229,2025-03-01,aFRR,NEG_001,53.36,PROVIDER_TO_GRID,5.0,5.0,DE,
166,47728230,2025-03-01,aFRR,NEG_001,52.7,PROVIDER_TO_GRID,5.0,5.0,DE,
167,47728231,2025-03-01,aFRR,NEG_001,52.04,PROVIDER_TO_GRID,5.0,5.0,DE,
168,47728232,2025-03-01,aFRR,NEG_001,51.37,PROVIDER_TO_GRID,5.0,5.0,DE,
169,47728233,2025-03-01,aFRR,NEG_001,50.71,PROVIDER_TO_GRID,5.0,5.0,DE,
170,47728234,2025-03-01,aFRR,NEG_001,50.04,PROVIDER_TO_GRID,5.0,5.0,DE,
171,47728235,2025-03-01,aFRR,NEG_001,49.38,PROVIDER_TO_GRID,5.0,5.0,DE,
172,47728236,2025-03-01,aFRR,NEG_001,48.72,PROVIDER_TO_GRID,5.0,5.0,DE,
173,47728237,2025-03-01,aFRR,NEG_001,48.05,PROVIDER_TO_GRID,5.0,5.0,DE,
174,47728238,2025-03-01,aFRR,NEG_001,47.39,PROVIDER_TO_GRID,5.0,5.0,DE,
175,47728239,2025-03-01,aFRR,NEG_001,46.73,PROVIDER_TO_GRID,5.0,5.0,DE,
176,47728240,2025-03-01,aFRR,NEG_001,46.06,PROVIDER_TO_GRID,5.0,5.0,DE,
177,47728241,2025-03-01,aFRR,NEG_001,45.4,PROVIDER_TO_GRID,5.0,5.0,DE,
178,47728242,2025-03-01,aFRR,NEG_001,44.73,PROVIDER_TO_GRID,5.0,5.0,DE,
179,47728243,2025-03-01,aFRR,NEG_001,43.18,PROVIDER_TO_GRID,5.0,5.0,DE,
180,47728244,2025-03-01,aFRR,NEG_001,41.97,PROVIDER_TO_GRID,5.0,5.0,DE,
181,47728245,2025-03-01,aFRR,NEG_001,40.77,PROVIDER_TO_GRID,5.0,5.0,DE,
182,47728246,2025-03-01,aFRR,NEG_001,39.57,PROVIDER_TO_GRID,5.0,5.0,DE,
183,47728247,2025-03-01,aFRR,NEG_001,38.37,PROVIDER_TO_GRID,5.0,5.0,DE,
184,47728248,2025-03-01,aFRR,NEG_001,37.17,PROVIDER_TO_GRID,5.0,5.0,DE,
185,47728249,2025-03-01,aFRR,NEG_001,35.96,PROVIDER_TO_GRID,5.0,5.0,DE,
186,47728250,2025-03-01,aFRR,NEG_001,34.76,PROVIDER_TO_GRID,5.0,5.0,DE,
187,47728251,2025-03-01,aFRR,NEG_001,33.56,PROVIDER_TO_GRID,5.0,5.0,DE,
188,47728252,2025-03-01,aFRR,NEG_001,32.36,PROVIDER_TO_GRID,5.0,5.0,DE,
189,47728253,2025-03-01,aFRR,NEG_001,31.16,PROVIDER_TO_GRID,5.0,5.0,DE,
190,47728254,2025-03-01,aFRR,NEG_001,29.95,PROVIDER_TO_GRID,5.0,5.0,DE,
191,47728255,2025-03-01,aFRR,NEG_001,28.75,PROVIDER_TO_GRID,5.0,5.0,DE,
192,47728256,2025-03-01,aFRR,NEG_001,27.55,PROVIDER_TO_GRID,5.0,5.0,DE,
193,47728257,2025-03-01,aFRR,NEG_001,26.35,PROVIDER_TO_GRID,5.0,5.0,DE,
194,47728258,2025-03-01,aFRR,NEG_001,25.15,PROVIDER_TO_GRID,5.0,5.0,DE,
195,47728259,2025-03-01,aFRR,NEG_001,23.95,PROVIDER_TO_GRID,5.0,5.0,DE,
196,47728260,2025-03-01,aFRR,NEG_001,22.74,PROVIDER_TO_GRID,5.0,5.0,DE,
197,47728261,2025-03-01,aFRR,NEG_001,21.54,PROVIDER_TO_GRID,5.0,5.0,DE,
198,47728262,2025-03-01,aFRR,NEG_001,20.34,PROVIDER_TO_GRID,5.0,5.0,DE,
199,47728263,2025-03-01,aFRR,NEG_001,19.14,PROVIDER_TO_GRID,5.0,5.0,DE,
200,47728264,2025-03-01,aFRR,NEG_001,17.94,PROVIDER_TO_GRID,5.0,5.0,DE,
201,47728265,2025-03-01,aFRR,NEG_001,37.47,PROVIDER_TO_GRID,5.0,5.0,DE,
202,47728266,2025-03-01,aFRR,NEG_001,36.58,PROVIDER_TO_GRID,5.0,5.0,DE,
203,47728267,2025-03-01,aFRR,NEG_001,35.66,PROVIDER_TO_GRID,5.0,5.0,DE,
204,47728268,2025-03-01,aFRR,NEG_001,34.63,PROVIDER_TO_GRID,5.0,5.0,DE,
205,47728269,2025-03-01,aFRR,NEG_001,33.88,PROVIDER_TO_GRID,5.0,5.0,DE,
206,47728270,2025-03-01,aFRR,NEG_001,32.87,PROVIDER_TO_GRID,5.0,5.0,DE,
207,47728271,2025-03-01,aFRR,NEG_001,32.09,PROVIDER_TO_GRID,5.0,5.0,DE,
208,47728272,2025-03-01,aFRR,NEG_001,30.98,PROVIDER_TO_GRID,5.0,5.0,DE,
209,47728273,2025-03-01,aFRR,NEG_001,30.13,PROVIDER_TO_GRID,5.0,5.0,DE,
210,47728274,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
211,47728275,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
212,47728276,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
213,47728277,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
214,47728278,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
215,47728279,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
216,47728280,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
217,47728281,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
218,47728282,2025-03-01,aFRR,NEG_001,30.11,PROVIDER_TO_GRID,5.0,5.0,DE,
219,47728283,2025-03-01,aFRR,NEG_001,29.96,PROVIDER_TO_GRID,5.0,5.0,DE,
220,47728284,2025-03-01,aFRR,NEG_001,29.19,PROVIDER_TO_GRID,5.0,5.0,DE,
221,47728285,2025-03-01,aFRR,NEG_001,28.25,PROVIDER_TO_GRID,5.0,5.0,DE,
222,47728286,2025-03-01,aFRR,NEG_001,27.41,PROVIDER_TO_GRID,5.0,5.0,DE,
223,47728287,2025-03-01,aFRR,NEG_001,26.39,PROVIDER_TO_GRID,5.0,5.0,DE,
224,47728288,2025-03-01,aFRR,NEG_001,39.26,GRID_TO_PROVIDER,5.0,5.0,DE,
