source_file,service,source_type,date,timestamp_local,hour,quarter_in_hour,quarter_hour,up_volume_mwh,up_price_eur_mwh,down_volume_mwh,down_price_eur_mwh,up_revenue_eur,down_revenue_eur,total_energy_revenue_eur,net_volume_mwh,gross_volume_mwh
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 19:30:00,20,3,79,0.234,104.559,0.008,11.6,24.466806000000002,0.0928,24.559606000000002,0.226,0.24200000000000002
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 19:45:00,20,4,80,0.482,121.0851,0.001,11.1,58.3630182,0.0111,58.3741182,0.481,0.483
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 20:00:00,21,1,81,1.014,136.2219,0.031,2.7516,138.1290066,0.08529959999999999,138.2143062,0.983,1.045
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 20:15:00,21,2,82,0.461,104.672,0.039,5.6436,48.253792000000004,0.2201004,48.473892400000004,0.42200000000000004,0.5
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 20:30:00,21,3,83,1.989,157.4975,0.074,3.8824,313.26252750000003,0.2872976,313.5498251,1.915,2.063
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 20:45:00,21,4,84,0.994,125.9732,0.01,6.18,125.21736080000001,0.0618,125.27916080000001,0.984,1.004
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 21:00:00,22,1,85,1.376,140.0564,0.01,11.44,192.71760639999997,0.1144,192.83200639999995,1.3659999999999999,1.386
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 21:15:00,22,2,86,1.042,131.8256,0.0,0.0,137.36227520000003,0.0,137.36227520000003,1.042,1.042
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 21:30:00,22,3,87,0.367,105.4335,0.006,12.0333,38.6940945,0.07219980000000001,38.7662943,0.361,0.373
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 21:45:00,22,4,88,0.067,170.1657,0.12,9.5933,11.4011019,1.1511959999999999,12.552297900000001,-0.05299999999999999,0.187
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 22:00:00,23,1,89,0.616,151.7208,0.188,5.6926,93.4600128,1.0702087999999998,94.5302216,0.428,0.804
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 22:15:00,23,2,90,0.332,141.3587,0.0,0.0,46.9310884,0.0,46.9310884,0.332,0.332
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 22:30:00,23,3,91,0.198,183.3894,0.138,7.5971,36.3111012,1.0483998,37.359501,0.06,0.336
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 22:45:00,23,4,92,0.073,192.0548,0.39,3.2018,14.020000399999999,1.248702,15.268702399999999,-0.317,0.463
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 23:00:00,24,1,93,0.622,127.3717,0.272,4.4614,79.2251974,1.2135008,80.4386982,0.35,0.894
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 23:15:00,24,2,94,0.012,140.05,0.071,10.4845,1.6806,0.7443995,2.4249995,-0.059,0.08299999999999999
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 23:30:00,24,3,95,0.232,127.5142,0.228,4.5732,29.583294400000003,1.0426896,30.625984000000003,0.0040000000000000036,0.46
04_seps_damas_regulacna_elektrina_2025_07_09.xlsx,aFRR,Generation,2025-07-26,2025-07-26 23:45:00,24,4,96,0.221,128.8964,0.038,9.5789,28.4861044,0.36399820000000005,28.8501026,0.183,0.259
