dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,1,2026-05-23T23:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,91.9678,A06,96,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T00:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.5198,A06,1,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T00:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10.071,A06,2,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T00:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,8.7556,A06,3,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T00:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10.0302,A06,4,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T01:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,8.8596,A06,5,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T01:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.5333,A06,6,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T01:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,11.95,A06,7,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T01:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.9214,A06,8,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T02:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10.047,A06,9,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T02:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,8.8,A06,10,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T02:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10,A06,11,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T02:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.9972,A06,12,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T03:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-18.5667,A06,13,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T03:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,7.2291,A06,14,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T03:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.7919,A06,15,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T03:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.9176,A06,16,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T04:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,-30.6182,A06,17,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T04:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,18,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T04:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6.8714,A06,19,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T04:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,9.6423,A06,20,A96,EUR,A03,A02,2,A04,MWH,A01
activated_balancing_prices,2,2026-05-23T05:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6.3246,A06,21,A96,EUR,A03,A02,2,A04,MWH,A01
